Airport Identifier,"Abbreviated
Airport Name",Latitude (DD),Longitude (DD),Manager's Name,"Airport 
E-mail Address",Airport Manager's Phone No.,Airport Manager's Address - Line 1,Address Line 2,City,,State,Zip,Type
7Y3,Backus,46.83,-94.51,Denny Williams,,218-947-3100,P.O. Box 187,,Backus,,MN,56435,Lighted Turf
7Y9,Big Falls,48.20,-93.77,Terrence Baird,bigfalls@citlink.net,218-556-4827,410 2nd Street NW.,,Big Falls,,MN,56627,Lighted Turf
9Y0,Bowstring,47.56,-93.87,Kenneth Reichert,kreichert@bigfork.net,218-244-6328,47703 Nutmeg Road,,Deer River,,MN,56636,Lighted Turf
25D,Forest Lake,45.25,-92.99,Rick Ashbach,,651-464-8707,,,Forest Lake,,MN,55025,Lighted Turf
3G2,Grygla,48.30,-95.63,Carter Torgerson,cityofgrygla@gvtel.com,218-294-6728,219 West Beltrami Street,,Grygla,,MN,56727,Lighted Turf
05Y,Henning,46.30,-95.44,John W. Thalmann,jwthalm@arvig.net,218-583-2270,405 Douglas Avenue,,Henning,,MN,56551,Lighted Turf
23D,Karlstad,48.58,-96.54,,,,,,,,MN,,Lighted Turf
18Y,Milaca,45.77,-93.63,Steve Burklund,steveburklund@aol.com,320-492-8246,255 1st Street East,,Milaca,,MN,56353,Lighted Turf
43Y,Northome,47.89,-94.25,Connie White,northome@paulbunyan.net,218-897-5762,12064 Main Street,P.O. Box 65,Northome,,MN,56661,Lighted Turf
47Y,Pelican Rapids,46.64,-96.10,Don Solga,cityshop@loretel.net,218-863-6571,315 North Broadway,P.O. Box 350,Pelican Rapids,,MN,56572,Lighted Turf
Y58,Sleepy Eye,44.25,-94.72,Charles Moldaschel,,507-794-7318,904 3rd Avenue NE.,,Sleepy Eye,,MN,56085,Lighted Turf
D32,Starbuck,45.60,-95.53,Gary Koos,starwtp@hcinet.net,320-239-2516,307 E. 5th Street,P.O. Box 606,Starbuck,,MN,56381,Lighted Turf
63Y,Tyler,44.29,-96.15,Daniel Tolsma,cityadmin@heartlandpower.org,507-247-5556,230 N. Tyler Street,,Tyler,,MN,56178,Lighted Turf
68Y,Wells,43.73,-93.78,Jeremy Germann,jgermann@cityofwells.net,507-553-6371,125 South Broadway,,Wells,,MN,56097,Lighted Turf
10D,Winsted,44.95,-94.07,Russ Paschke,publicworks@winsted.mn.us,320-487-3720,201 1st Street N.,,Winsted,,MN,55395,Lighted Turf
