Airport Identifier,"Abbreviated
Airport Name",Latitude (DD),Longitude (DD),Manager's Name,"Airport 
E-mail Address",Airport Manager's Phone No.,Airport Manager's Address - Line 1,Address Line 2,City,,State,Zip,Type
LVN,Airlake,44.63,-93.23,Greg Fries,greg.fries@mspmac.org,651-224-4306,6040 28th Avenue S.,,Minneapolis,,MN,55450,Paved
AIT,Aitkin,46.55,-93.68,Kathy Brophy,cityclerk@ci.aitkin.mn.us,218-927-2527,109 1st Avenue NW.,,Aitkin,,MN,56431,Paved
AEL,Albert Lea,43.68,-93.37,Jim Hanson,jimhanson@deskmedia.com,507-373-0608,221 E. Clark Street,,Albert Lea,,MN,56007,Paved
AXN,Alexandria,45.87,-95.39,Todd G. Roth,alexav@rea-alp.com,320-762-2111,2604 Aga Drive,,Alexandria,,MN,56308,Paved
ANE,Anoka,45.15,-93.21,Joseph Harris,Joe.Harris@mspmac.org,763-717-0001,6040 28th Avenue S.,,Minneapolis,,MN,55450,Paved
AQP,Appleton,45.23,-96.00,Gregory D. Ruether,planerv9@yahoo.com,320-289-1293,149 S. Munsterman Street,,Appleton,,MN,56208,Paved
AUM,Austin,43.66,-92.93,Bruce W. Budahn,austinaeroflight@austinaeroflight.com,507-433-1813,710 21st Street NE.,,Austin,,MN,55912,Paved
7Y4,Bagley,47.52,-95.36,Bill Masterson,bagleystreets@gvtel.com,218-694-6532,18 Main Avenue S.,,Bagley,,MN,56621,Paved
BBB,Benson,45.33,-95.65,Elliot C. Nelson,elliot.nelson@co.swift.mn.us,320-843-5444,1410 Kansas Avenue,,Benson,,MN,56215,Paved
FOZ,Bigfork,47.78,-93.65,Hiram Gene Ward,hgw@bigfork.net,218-743-6175,58022 State Highway 38,,Bigfork,,MN,56628,Paved
SBU,Blue Earth,43.60,-94.09,Tim & Barb Steier,steier@bevcomm.net,507-526-7264,7575 US Hwy 169,,Blue Earth,,MN,56013,Paved
6D1,Brooten,45.50,-95.11,David W. Bohmer,dbohmer@tds.net,320-346-2234,147 Central Avenue S.,P.O. Box 400,Brooten,,MN,56316,Paved
CFE,Buffalo,45.16,-93.84,Chris Fredrick,chris.fredrick@ci.buffalo.mn.us,763-682-0296,1305 County Road 134,,Buffalo,,MN,55313,Paved
CBG,Cambridge,45.56,-93.26,Steven Wegwerth,swegwerth@cambridgepw.org,763-689-1800,300 3rd Avenue NE.,,Cambridge,,MN,55008,Paved
CNB,Canby,44.73,-96.26,Matt  Wagner,mathewwagner@Hotmail.com,507-829-9608,105 Squire Lane,,Canby,,MN,56220,Paved
COQ,Cloquet,46.70,-92.51,Quinten Anderson,quinten@cloquetairport.com,218-879-4911,125 Wheaton Road,,Cloquet,,MN,55720,Paved
CQM,Cook,47.82,-92.69,Theresa Martinson,Theresa@cookmn.us,218-666-2200,127 S. River Street,,Cook,,MN,55723,Paved
CKN,Crookston,47.84,-96.62,Lowell Miller,cknairport@rrv.net,218-281-2625,26305 Airport Road SW,,Crookston,,MN,56716,Paved
MIC,Crystal,45.06,-93.35,Jeff Nawrocki,jeff.nawrocki@comcast.net,763-537-2058,6040 28th Avenue S.,,Minneapolis,,MN,55450,Paved
DTL,Detroit Lakes,46.83,-95.89,Mark Bergen,dlaviation@arvig.net,218-847-3233,24813 Highway 10 W.,,Detroit Lakes,,MN,56501,Paved
TOB,Dodge Center,44.02,-92.83,Wayne A. Trom,wrtrom@kmtel.co,507-374-6245,806 Airport Road S.,,Dodge Center,,MN,55927,Paved
Y63,Elbow Lake,45.99,-95.99,Joseph V. LaRue,joe@prairie-air.net,218-685-6594,1111 2nd Street SW.,,Elbow Lake,,MN,56531,Paved
ELO,Ely,47.82,-91.83,James Preblich,jim@preblich.com,218-365-5600,1583 Highway 1,,Ely,,MN,55731,Paved
EVM,Eveleth,47.43,-92.50,Gary Ulman,e-vairportauthority@live.com,218-744-1428,4280 Miller Trunk Road,,Eveleth,,MN,55734,Paved
FRM,Fairmont,43.64,-94.42,Al Pelzer,al@fivelakesaviation.com,507-235-2537,2159 E. Blue Earth Avenue,,Fairmont,,MN,56031,Paved
FBL,Faribault,44.32,-93.31,Gerald L. Serres,jlserres@me.com,507-332-0140,3401 West Trunk Highway 21,,Faribault,,MN,55021,Paved
FFM,Fergus Falls,46.28,-96.16,Curt Maleuha,,218-739-3733,4005 Highway 210 W.,,Fergus Falls,,MN,56538,Paved
D14,Fertile,47.55,-96.29,John Frohrip,fertile@gvtel.com,218-945-3136,101 S. Mill Street,,Fertile,,MN,56540,Paved
FCM,Flying Cloud,44.83,-93.46,Jeff Nawrocki,jeff.nawrocki@mspmac.org,763-537-2058,6040 28th Avenue S.,,Minneapolis,,MN,55450,Paved
FSE,Fosston,47.59,-95.77,Chuck Lucken,chuck.lucken@fosston.com,218-435-1959,220 E. First Street,,Fosston,,MN,56542,Paved
GYL,Glencoe,44.76,-94.08,Mark D. Larson,MLarson@ci.glencoe.mn.us,320-864-5586,1107 E. 11th Street,Suite 107,Glencoe,,MN,55336,Paved
GHW,Glenwood,45.64,-95.32,Dave Iverson,,320-634-5433,137 E. Minnesota Avenue,,Glenwood,,MN,56344,Paved
GPZ,Grand Rapids,47.21,-93.51,Matthew Romanik,mromanik@ci.grand-rapids.mn.us,218-326-0893,1500 SE. 7th Avenue,,Grand Rapids,,MN,55744,Paved
GDB,Granite Falls,44.75,-95.56,Bill Lavin,bill.lavin@granitefalls.com,320-564-3011,641 Prentice Street,,Granite Falls,,MN,56241,Paved
HCO,Hallock,48.75,-96.94,Jeremy Seng,jeremycseng@gmail.com,218-791-1067,PO Box 397,,Cavalier,,MN,58220,Paved
04Y,Hawley,46.88,-96.35,Lisa Jetvig,ljetvig@arvig.net,218-483-3331,305 6th Street,P.O. Box 69,Hawley,,MN,56549,Paved
1D6,Hector,44.73,-94.71,Ed Newberg,newberg@hutchtel.net,320 848 2146,78980 State Highway 4,,Hector,,MN,55342,Paved
06Y,Herman,45.83,-96.16,Ken Werk,kwerk@frontiernet.net,320-677-2621,50 Berlin Avenue S.,,Herman,,MN,56248,Paved
STP,Holman Field,44.93,-93.06,Greg Fries,greg.fries@mspmac.org,651-224-4306,6040 28th Avenue S.,,Minneapolis,,MN,55450,Paved
CHU,Houston,43.60,-91.50,Brian Pogodzinski,Brian.Pogodzinski@co.houston.mn.us,507-725-3925,1124 E. Washington Street,,Caledonia,,MN,55921,Paved
HCD,Hutchinson,44.86,-94.38,John Olson,jolson@ci.hutchinson.mn.us,320-234-4219,1400 Adams Street SE.,,Hutchinson,,MN,55350,Paved
MJQ,Jackson,43.65,-94.99,Paul Sanders,psaviationinc@yahoo.com,507-447-2675,217 E. Creamery Street,,Granada,,MN,56039,Paved
DXX,Lac Qui Parle,44.99,-96.18,Mark Borgerson,,320-598-3467,P.O. Box 175,,Madison,,MN,56256,Paved
21D,Lake Elmo,45.00,-92.86,Joseph Harris,Joe.Harris@mspmac.org,651-777-6300,6040 28th Avenue S.,,Minneapolis,,MN,55450,Paved
12Y,Le Sueur,44.44,-93.91,Ron Sinell,rsinell@cityoflesueur.com,507-665-2266,203 S. 2nd Street,P.O. Box 176,Le Sueur,,MN,56058,Paved
LJF,Litchfield,45.10,-94.51,Glenn Young,,320-693-7201,703 Park Avenue,,Litchfield,,MN,55355,Paved
LXL,Little Falls,45.95,-94.35,,,,,,,,MN,,Paved
14Y,Long Prairie,45.90,-94.87,Chad Kuehne,dvenekamp@embarqmail.com,320-732-2167,18794 Elm Drive,,Long Prairie,,MN,56347,Paved
XVG,Longville,46.99,-94.20,Dayna Merten,cityoflngvl@arvig.net,218-363-2022,P.O. Box 217,,Longville,,MN,56655,Paved
LYV,Luverne,43.62,-96.22,Ben Baum,ben@sierradeltaaviation.com,605-413-5028,941 S Highway 75,,Luverne,,MN,56156,Paved
3N8,Mahnomen,47.26,-95.93,Bill Nelson,,218-935-5650,601 6th Street SW.,,Mahnomen,,MN,56557,Paved
MKT,Mankato,44.22,-93.92,Kevin Baker,kbaker@city.mankato.mn.us,507-345-3171,3030 Airport Road,,Mankato,,MN,56001,Paved
MML,Marshall,44.45,-95.82,Glenn Olson,Glenn.Olson@marshallmn.com,507-537-6773,344 W. Main Street,,Marshall,,MN,56258,Paved
HZX,McGregor,46.62,-93.31,Mike Zebro,mcgsubs@mlecmn.net,406-223-4955,,,McGregor,,MN,55760,Paved
MVE,Montevideo,44.97,-95.71,Don Ruether,monteair@gmail.com,320-269-4829,1902 Benson Road,,Montevideo,,MN,56265,Paved
JKJ,Moorhead,46.84,-96.66,Kristie Leshovsky,kristie.leshovsky@cityofmoorhead.com,218-299-5332,500 Center Avenue,,Moorhead,,MN,56560,Paved
MZH,Moose Lake,46.42,-92.80,Quinten Anderson,quinten@cloquetairport.com,218-879-4911,125 Wheaton Road,,Cloquet,,MN,55720,Paved
JMR,Mora,45.89,-93.27,Joel Dhein,joel.dhein@cityofmora.com,320-679-1151,101 Lake Street S.,,Mora,,MN,55051,Paved
MOX,Morris,45.57,-95.97,Dorothy Schneider,cityhall@ci.morris.mn.us,320-589-2083,50725 State Highway 28,,Morris,,MN,56267,Paved
ULM,New Ulm,44.32,-94.50,Pete Johnson,nufs@newulmtel.net,507-359-8127,1617 Highway 14 W.,,New Ulm,,MN,56073,Paved
OVL,Olivia,44.78,-95.03,Richard Sigurdson,cityofolivia@olivia.mn.us,320-979-8326,2725 W. Lincoln Avenue,,Olivia,,MN,56277,Paved
ORB,Orr,48.02,-92.86,Joel Astleford,orrmnedc@centurytel.net,218-757-9994,4429 Highway 53,,Orr,,MN,55771,Paved
VVV,Ortonville,45.31,-96.42,Char Grossman,finance@cityofortonville.org,320-839 3428,315 Madison Avenue,,Ortonville,,MN,56278,Paved
OWA,Owatonna,44.12,-93.26,Dave Beaver,airport@ci.owatonna.mn.us,507-444-2448,3400 W. Frontage Road,,Owatonna,,MN,55060,Paved
PKD,Park Rapids,46.90,-95.07,Scott Burlingame,pworks@unitelc.com,218-237-2713,1425 Fair Avenue,,Park Rapids,,MN,56470,Paved
PEX,Paynesville,45.37,-94.73,Ron Mergen,ron@paynesvillemn.com,320-243-3714,221 Washburne Avenue,,Paynesville,,MN,56362,Paved
16D,Perham,46.60,-95.60,Kelcey Klemm,kklemm@cityofperham.com,218-346-4455,125 2nd Street NE.,P.O. Box 130,Perham,,MN,56573,Paved
PWC,Pine River,46.72,-94.38,Wanda Mongan,allnoing@uslink.net,218-587-2440,200 Front Street N.,P.O. Box 87,Pine River,,MN,56474,Paved
48Y,Pinecreek,49.00,-95.98,Jake Elton,,218-463-2030,39495 310th Avenue,,Roseau,,MN,56751,Paved
PQN,Pipestone,43.98,-96.30,Rob Dykstra,rdyks@aol.com,507-562-2332,1302 13th Street SE.,,Pipestone,,MN,56164,Paved
FKA,Preston,43.68,-92.18,Larry Tammel,pschroeder@co.fillmore.mn.us,507-450-4731,909 Houston Street NW.,,Preston,,MN,55965,Paved
PNM,Princeton,45.56,-93.61,Mark Karnowski,mark@princetonmn.org,763-389-2040,705 2nd Street N.,,Princeton,,MN,55371,Paved
D81,Red Lake Falls,47.82,-96.26,Allen L. Ducharme,rdlkfals@gvtel.com,218-253-2684,108 2nd Street SW. ,P.O. Box 37,Red Lake Falls,,MN,56750,Paved
RGK,Red Wing,44.59,-92.49,Rick Moskwa,rick.moskwa@ci.red-wing.mn.us,651-385-3653,229 Tyler Road N.,,Red Wing,,MN,55066,Paved
RWF,Redwood Falls,44.55,-95.08,David Fuhr,dfuhr@airbornedatasystems.com,507-644-3590,500 Airport Drive,,Redwood Falls,,MN,56283,Paved
ROX,Roseau,48.86,-95.70,Roseau Aviation,arlens@mncable.net,218-463-3906,31072 420th Avenue,,Roseau,,MN,56751,Paved
ROS,Rush City,45.70,-92.95,Don Swanson,cityhall@ci.rush-city.mn.us,612-616-9947,54175 Forest Boulevard,P.O. Box 556,Rush City,,MN,55069,Paved
55Y,Rushford,43.82,-91.83,Steve Sarvi,rushford@acegroup.cc,507-864-2667,101 N. Mill Street,,Rushford,,MN,55971,Paved
D39,Sauk Centre,45.71,-94.93,Vicki Willer,vicki.willer@ci.sauk-centre.mn.us,320-352-2203,320 Oak Street S.,,Sauk Centre,,MN,56378,Paved
