City,Pop_1400,Pop_1500,Pop_1600,Pop_1700,Pop_1800,Pop_1900,Pop_2000,Latitude,Longitude
Dublin,8000,14000,20000,60000,180000,400000,495000,53.347778,-6.259722
Galway,3000,3500,4000,4500,5000,10000,75530,53.271944,-9.048889
Cork,2000,3000,4000,5000,80000,76000,123000,51.897222,-8.47
Belfast,250,500,1000,2500,20000,349000,276000,54.597,-5.93
Douglas,4,26,400,800,4000,20000,25347,54.145,-4.482
Glasgow,1750,2750,6250,15000,70000,762000,629000,55.858,-4.259
Edinburgh,5000,9000,12000,56000,103000,270000,449000,55.953056,-3.188889
Aberdeen,3000,4000,9000,18000,27000,153000,212000,57.1526,-2.11
Cardiff,2000,1000,1300,1600,1900,160000,280000,51.483333,-3.183333
Swansea,1000,1000,1000,2500,6000,134000,239000,51.616667,-3.95
Newport,400,600,800,1000,6600,79000,137000,51.583333,-3
Truro,600,1000,2500,4000,7000,11500,21000,50.26,-5.051
Rennes,3000,4000,9000,18000,26000,75000,207000,48.1147,-1.6794
Brest,5000,8000,12000,15000,26000,84000,150000,48.39,-4.49
Nantes,7000,15000,25000,50000,77000,118000,270000,47.2181,-1.5528
